"cancer","gene","CGC","NCG6.0","mutation","CNV","methylation","miRNA","survival","multiomics"
"LUAD","RB1","1","1","0","0","0","hsa-miR-93-5p","0","0"
"LUAD","SMAD4","1","1","0","0","0","hsa-miR-224-5p","0","0"
"LUAD","APC","1","1","0","0","0","hsa-miR-210-3p","0","0"
"LUAD","MAP3K1","1","1","0","0","0","hsa-miR-193b-3p","0","0"
"LUAD","NPM1","1","1","0","0","0","hsa-miR-125a-5p","0","0"
"LUAD","PTEN","1","1","0","0","0","hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-20b-5p,hsa-miR-301a-3p,hsa-miR-425-5p,hsa-miR-93-5p","0","0"
"LUAD","RUNX1","1","1","0","0","0","hsa-miR-106a-5p,hsa-miR-17-5p","0","1"
"LUAD","DNMT3A","1","1","0","0","0","hsa-miR-101-3p","0","0"
"LUAD","MTFR1","0","0","0","1","0","hsa-let-7b-3p","1","0"
"LUAD","ABCC3","0","0","3","0","0","0","0","1"
"LUAD","ABL1","1","1","3","0","0","0","0","1"
"LUAD","ACACA","0","0","3","0","0","0","0","1"
"LUAD","ACTB","0","1","0","0","0","0","1","0"
"LUAD","ADAM28","0","0","0","-1","0","0","0","0"
"LUAD","ADAMTS14","0","0","3","0","0","0","0","1"
"LUAD","ADAR","0","0","3","0","0","0","0","1"
"LUAD","ADH1A","0","0","3","0","0","0","0","0"
"LUAD","AFP","0","0","4","0","0","0","0","0"
"LUAD","AKT1","1","1","0","0","0","0","0","0"
"LUAD","AMPH","0","1","3","0","0","0","0","0"
"LUAD","ANK2","0","1","0","0","0","0","0","1"
"LUAD","ANK3","0","1","3","0","0","0","0","0"
"LUAD","ANKRD36B","0","0","0","-1","0","0","0","0"
"LUAD","AQP5","0","0","0","0","1","0","0","1"
"LUAD","ARID1A","1","1","0","0","0","0","0","0"
"LUAD","ARL17B","0","0","0","-1","0","0","1","0"
"LUAD","ASPM","0","1","3","0","0","0","0","0"
"LUAD","ATF6","0","0","3","0","0","0","0","0"
"LUAD","ATM","1","1","0","0","0","0","0","0"
"LUAD","BABAM2","0","1","3","0","0","0","0","0"
"LUAD","BAZ1A","1","1","0","1","0","0","0","0"
"LUAD","BRAF","1","1","0","0","0","0","0","1"
"LUAD","BRMS1L","0","0","0","1","0","0","0","0"
"LUAD","BTNL10","0","0","0","1","0","0","0","1"
"LUAD","C10orf82","0","0","0","0","1","0","0","0"
"LUAD","C12orf71","0","0","3","0","0","0","0","0"
"LUAD","C2CD4D","0","0","0","1","0","0","0","1"
"LUAD","CACNA1B","0","0","0","0","0","0","0","0"
"LUAD","CACNA1E","0","1","0","0","0","0","0","0"
"LUAD","CACNA1S","0","0","0","0","0","0","0","0"
"LUAD","CAPN13","0","0","3","0","0","0","0","0"
"LUAD","CAPN3","0","0","3","0","0","0","0","0"
"LUAD","CASP8","1","1","0","0","0","0","0","1"
"LUAD","CBX2","0","0","0","0","1","0","0","1"
"LUAD","CCDC148","0","0","3","0","0","0","0","0"
"LUAD","CCT6A","0","0","0","1","0","0","1","0"
"LUAD","CD300C","0","0","3","0","0","0","0","1"
"LUAD","CDC27","0","1","0","0","0","0","1","0"
"LUAD","CDH1","1","1","0","0","0","0","0","0"
"LUAD","CDK12","1","1","3","0","0","0","0","1"
"LUAD","CDKN1A","1","1","0","0","0","0","0","0"
"LUAD","CDKN2A","1","1","0","-1","0","0","0","0"
"LUAD","CDKN2B","0","1","0","-1","0","0","0","0"
"LUAD","CEBPA","1","1","0","0","0","0","1","0"
"LUAD","CHEK2","1","1","0","0","0","0","0","0"
"LUAD","CHMP4C","0","0","0","1","0","0","0","1"
"LUAD","CLEC6A","0","0","3","0","0","0","0","0"
"LUAD","CMBL","0","0","0","0","1","0","0","1"
"LUAD","COCH","0","0","0","1","0","0","0","0"
"LUAD","COL28A1","0","0","3","0","0","0","0","1"
"LUAD","COL6A6","0","1","3","0","0","0","0","1"
"LUAD","CPS1","0","1","0","0","0","0","0","0"
"LUAD","CPVL","0","0","3","0","0","0","0","0"
"LUAD","CREBBP","1","1","0","0","0","0","0","1"
"LUAD","CTCF","1","1","0","0","0","0","0","0"
"LUAD","CTNNB1","1","1","0","0","0","0","0","1"
"LUAD","DDX3Y","0","0","0","-1","0","0","0","0"
"LUAD","DGKI","0","1","3","0","0","0","0","0"
"LUAD","DMRTA1","0","0","0","-1","0","0","0","0"
"LUAD","DPYSL3","0","0","3","0","0","0","0","0"
"LUAD","DSN1","0","0","3","0","0","0","0","0"
"LUAD","DST","0","1","0","0","0","0","0","0"
"LUAD","DUSP4","0","0","0","-1","0","0","0","0"
"LUAD","E2F5","0","0","0","1","0","0","0","1"
"LUAD","EEPD1","0","0","3","0","0","0","0","1"
"LUAD","EGFR","1","1","8","1","0","0","0","1"
"LUAD","EOMES","0","0","3","0","0","0","0","0"
"LUAD","EP300","1","1","3","0","0","0","0","0"
"LUAD","EPHX1","0","0","0","1","0","0","0","1"
"LUAD","ERBB2","1","1","3","0","0","0","0","1"
"LUAD","ERBB3","1","1","0","0","0","0","0","0"
"LUAD","EXOC3-AS1","0","0","0","1","0","0","0","0"
"LUAD","EXTL1","0","0","3","0","0","0","0","0"
"LUAD","FAM124B","0","0","3","0","0","0","0","0"
"LUAD","FAM153B","0","0","3","0","0","0","0","0"
"LUAD","FAM167A","0","0","0","-1","0","0","0","0"
"LUAD","FAM177A1","0","0","0","1","0","0","0","0"
"LUAD","FBXW7","1","1","0","0","0","0","0","0"
"LUAD","FGFR3","1","1","0","0","0","0","0","0"
"LUAD","FLG","0","1","0","0","0","0","0","0"
"LUAD","FLNA","1","1","3","0","0","0","0","1"
"LUAD","FLNB","0","0","3","0","0","0","0","1"
"LUAD","FLT3","1","1","0","0","0","0","1","0"
"LUAD","FOXA1","1","1","0","1","0","0","0","0"
"LUAD","FOXN4","0","0","3","0","0","0","0","0"
"LUAD","FRG1B","0","0","0","0","0","0","0","0"
"LUAD","GAB1","0","0","3","0","0","0","0","1"
"LUAD","GAP43","0","0","3","0","0","0","0","1"
"LUAD","GATA3","1","1","0","0","0","0","0","0"
"LUAD","GEMIN2","0","0","0","1","0","0","0","0"
"LUAD","GLCCI1","0","0","3","0","0","0","0","0"
"LUAD","GNRH1","0","0","0","-1","0","0","0","1"
"LUAD","GPR31","0","0","3","0","0","0","0","0"
"LUAD","GSTM1","0","0","0","-1","0","0","0","0"
"LUAD","GTF2E1","0","0","3","0","0","0","0","1"
"LUAD","HAS1","0","0","3","0","0","0","0","0"
"LUAD","HEATR4","0","0","0","-1","0","0","0","0"
"LUAD","HLA-DRB5","0","0","0","1","0","0","1","1"
"LUAD","HOXB2","0","0","0","0","1","0","0","0"
"LUAD","HOXB4","0","0","0","0","1","0","0","0"
"LUAD","HRAS","1","1","0","0","0","0","0","0"
"LUAD","HUWE1","0","1","3","0","0","0","0","0"
"LUAD","IDH1","1","1","0","0","0","0","0","0"
"LUAD","IDH2","1","1","0","0","0","0","0","0"
"LUAD","IFT140","0","1","3","0","0","0","0","0"
"LUAD","IGF1","0","0","0","0","1","0","0","1"
"LUAD","IKZF1","1","1","3","0","0","0","0","0"
"LUAD","INPPL1","0","1","3","0","0","0","0","0"
"LUAD","IRS1","0","1","3","0","0","0","0","0"
"LUAD","ITPR1","0","0","0","0","0","0","0","0"
"LUAD","JMJD1C","0","0","3","0","0","0","0","1"
"LUAD","JPH2","0","0","3","0","0","0","0","0"
"LUAD","KDM5D","0","0","0","-1","0","0","0","0"
"LUAD","KEAP1","1","1","3","0","0","0","0","0"
"LUAD","KHDRBS3","0","0","0","1","0","0","0","0"
"LUAD","KIAA0391","0","0","0","1","0","0","0","0"
"LUAD","KIF13B","0","0","3","0","0","0","0","0"
"LUAD","KIRREL1","0","0","3","0","0","0","0","1"
"LUAD","KIT","1","1","0","0","0","0","1","0"
"LUAD","KLHL9","0","0","0","-1","0","0","0","0"
"LUAD","KRAS","1","1","5","0","0","0","0","1"
"LUAD","KRT2","0","0","3","0","0","0","0","0"
"LUAD","LAMA1","0","0","3","0","0","0","0","0"
"LUAD","LAPTM4B","0","1","0","1","0","0","0","1"
"LUAD","LCE2D","0","0","3","0","0","0","0","0"
"LUAD","LCP1","1","1","3","0","0","0","0","1"
"LUAD","LIPI","0","0","3","0","0","0","0","0"
"LUAD","LMNB2","0","0","3","0","0","0","0","0"
"LUAD","LRCH2","0","0","3","0","0","0","0","0"
"LUAD","LRRC15","0","0","3","0","0","0","0","0"
"LUAD","LRRC37A","0","0","0","-1","0","0","0","0"
"LUAD","LRRK2","0","1","3","0","0","0","0","0"
"LUAD","MAGEB18","0","0","3","0","0","0","0","0"
"LUAD","MAP2K1","1","1","4","0","0","0","0","0"
"LUAD","MAP2K4","1","1","0","0","0","0","0","1"
"LUAD","MARC1","0","0","0","1","0","0","0","1"
"LUAD","MB21D2","1","1","4","0","0","0","0","0"
"LUAD","MCF2L","0","0","3","0","0","0","0","0"
"LUAD","MET","1","1","4","0","0","0","0","1"
"LUAD","MEX3A","0","0","0","1","0","0","0","1"
"LUAD","MGA","0","1","3","0","0","0","0","1"
"LUAD","MIPOL1","0","0","0","1","0","0","0","0"
"LUAD","MLL3","0","0","0","0","0","0","0","0"
"LUAD","MMP16","0","0","3","0","0","0","0","1"
"LUAD","MMP17","0","0","3","0","0","0","0","1"
"LUAD","MMP3","0","0","3","0","0","0","0","1"
"LUAD","MRPS28","0","0","0","1","0","0","0","1"
"LUAD","MTAP","0","0","0","-1","0","0","0","0"
"LUAD","MTNR1A","0","0","3","0","0","0","0","0"
"LUAD","NCOR2","1","1","0","0","0","0","0","1"
"LUAD","NEFH","0","1","0","0","0","0","0","0"
"LUAD","NF1","1","1","4","0","0","0","0","1"
"LUAD","NFATC4","0","0","3","0","0","0","0","0"
"LUAD","NFE2L2","1","1","3","0","0","0","0","1"
"LUAD","NOTCH1","1","1","0","0","0","0","0","0"
"LUAD","NRAS","1","1","0","0","0","0","0","0"
"LUAD","NRG1","1","1","3","0","0","0","0","1"
"LUAD","NRXN1","0","1","0","0","0","0","1","1"
"LUAD","NUP153","0","0","3","0","0","0","0","1"
"LUAD","NUP43","0","0","3","0","0","0","0","0"
"LUAD","OPRD1","0","0","0","0","0","0","0","0"
"LUAD","OR52D1","0","0","3","0","0","0","0","0"
"LUAD","OR5D16","0","0","3","0","0","0","0","0"
"LUAD","OR8U1","0","0","3","0","0","0","0","0"
"LUAD","P2RY10","0","0","3","0","0","0","0","0"
"LUAD","PADI6","0","0","3","0","0","0","0","0"
"LUAD","PAPOLG","0","0","3","0","0","0","0","0"
